Institution,Researcher Name,Associated Facilities,Research Areas,Research Chairs/Grant Funding,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Alternative Fuels,Autonomy and AI,Batteries and Fuel Cells,Biocomposites,Coatings and Corrosion,Connected Vehicles,Control,Crashworthiness,Electronics,Forming and Joining,High Strength Steel,Hybrid and Electric Vehicles,Industrial Processes,Injury Prevention,Internal Combustion Engines,Lightweight Metals,Mechatronics,Nanotechnology,Networks and Security,"Noise, Vibration and Harshness",Polymers and Composite Materials,Powertrain,Sensors,Software,Stress and Fracture,Transportation and Charging,Vehicle Design
Brock University,"Ahmed, Syed Ejaz",Centre for Statistical Consulting,Traffic and road injury prevention.,,Injury Prevention,,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,,
Carleton University,"Ahmadi, Mojtaba",Advanced Biomechatronics & Locomotion Lab,"Mechatronics, linear and nonlinear control. Mechatronic systems analysis and design for special applications.
Simulation, virtual reality, distributed and real-time control",,Mechatronics,Control,,,,,,,,,,x,,,,,,,,,,x,,,Err:507,,,,,,,
Carleton University,"Aitken, Victor",,Control systems; data and information fusion; redundancy; machine vision; mapping and localization; sensing; unmanned vehicle systems; robotics.,,Control,Autonomy and AI,Sensors,,,,x,,,,,x,,,,,,,,,,,,,Err:507,,,x,,,,
Carleton University,"Ajila, Samuel",,"Big Data Analytics: Software Repository, Multi-media, and Networks Radio Traffic Data.",,Software,Networks and security,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,x,,,
Carleton University,"Albert, Jacque",Carleton Laboratory for Laser Induced Photonic Structures,"Optical fibre sensors and devices; photonics for diagnostic tools, including for the structural integrity of vehicles.",Canada Research Chair in Advanced Photonic Components,Sensors,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,x,,,,
Carleton University,"Amaya, Rony",,"Automotive radar, wireless power transfer, contactless communications, adaptive antennas",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Atia, Mohamed",Embedded Multisensor Systems Research Group,Sensor fusion for extracting accurate state information from noisy data from heterogeneous sets of sensors; sensors for autonomous vehicles; multi-sensor-based navigation of autonomous vehicles in complex environments; multi-sensor-based safety features for automobiles; Intelligent Transportation Systems.,,Autonomy and AI,Sensors,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,x,,,,
Carleton University,"Banihashemi, Amir",Broadband Communications and Wireless Systems (BCWS) Centre,"Digital and wireless communications, coding and information theory, signal processing, algorithms",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Barbeau, Michel",,"Wireless communications networking, quantum communications and networks",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Bertossi, Leopoldo",,Database systems; peer data management; intelligent information systems; data quality and integration; logic programming & computational logic,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Biddle, Robert",,Computer security; human computer interaction; agile software development,,Networks and security,Connected vehicles,,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Bose, Prosenjit",Computational Geometry Lab,Algorithm design & analysis; geometric computing; computer vision; data structures; image processing & pattern recognition,,Software,Autonomy and AI,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Chaoui, Hicham",,"Modeling and control of nonlinear dynamic systems. Adaptive and intelligent control theory. Soft-computing and machine intelligence, autonomous car applications.",,Control,Autonomy and AI,,,,,x,,,,,x,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Chiasson, Sonia","Carleton's Human Oriented Research in Usable Security (CHORUS) Lab
Canada Research Chair in Human Oriented Computer Security
SERENE-RISC (Network of Centres of Excellence of Canada)","User authentication; mobile device security; improving mental models of computer security; collaborative security code reviews; visualizations of computer security, safety in automotive user interfaces",,Networks and security,Connected vehicles,,,,,,,,,x,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Corriveau, Jean-Pierre",,"A.I.; distributed & real-time systems; software engineering; programming languages, human computer interaction, contextualized natural language understanding, multisensory acquisition and modeling of 3D objects, human-machine interaction, autonomous systems.",,Autonomy and AI,Software,Connected vehicles,,,,x,,,,x,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Cretu, Ana-Maria","Applied Intelligent Systems Laboratory
SMART Research Group (U of Ottawa)","Machine intelligence, machine learning, neural networks, pattern classification and recognition, computational techniques for complex data and image processing.",,Autonomy and AI,,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,,,,
Carleton University,"Deugo, Dwight",,Algorithms & programming; A.I.; pervasive computing; software engineering; web tech,,Autonomy and AI,Software,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Easa, Said M.",,Road safety; geometric design traffic operations & management; intelligent transport systems; geomatics,,Injury Prevention,Transportation and charging,,,,,,,,,,,,,,,,,x,,,,,,Err:507,,,,,,x,
Carleton University,"El Sayed, Mostafa",Aerospace Materials & Structures Laboratory (AMS-Lab),"Multiscale Mechanics of Ultra-light, Multifunctional Hybrid Materials and Structures. Advanced Manufacturing (Additive manufacturing/3D Printing). Applied Mechanics: Airframe Structural Development and Design Optimization with Applications to Future Concepts of Passenger & Cargo Transports, Spacecraft and UAVs.",,Lightweight metals,Polymers and composite materials,Industrial processes,,,,,,,,,,,,,,,x,,,x,,,,Err:507,x,,,,,,
Carleton University,"El-Tanany, Mohamed",Broadband Communications and Wireless Systems (BCWS) Centre,Modulation & error control coding; portable communication systems; satellite & radio receivers; remote sensing,,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Esfandiari, Babak",Network Management and Artificial Intelligence Lab,Network computing & AI,,Networks and security,Autonomy and AI,,,,,x,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Franks, Gregory",,Simulation and modelling; software performance; reverse engineering of distributed software systems; software engineering; operating systems.,,Software,,,,,,,,,,,,,,,,,,,,,,,,Err:507,,,,x,,,
Carleton University,"Gohary, Ramy",,"Embedded systems, Machine-to-machine communications, Antenna systems",,Networks and security,,,,,,,,,,,,,,,,,,,,,,,x,Err:507,,,,,,,
Carleton University,"Goldak, John",Unknown.,"Casting, solidification of castings, design environments for casting, microstructure models in casting and welding, hydrogen cracking in welds.",,Forming and joining,Vehicle design,Stress and fracture,,,,,,,,,,,,x,,,,,,,,,,Err:507,,,,,x,,x
Carleton University,"Gunupudi, Pavan",,Neural networks; photonics; sensor technology; systems simulations.,,Sensors,Autonomy and AI,,,,,x,,,,,,,,,,,,,,,,,,Err:507,,,x,,,,
Carleton University,"Guo, Yuhong",Canada Research Chair in Machine Learning,Machine learning; A.I.; natural language processing; computer vision; bioinformatics; data analysis,,Connected vehicles,Autonomy and AI,,,,,x,,,,x,,,,,,,,,,,,,,Err:507,,,,,,,
